Performance Date,Return,Status,Fund Long Name
2018-05-31,0.0137839305,Final,HFRI ED: Merger Arbitrage Index
2018-04-30,-0.0011754815,Final,HFRI ED: Merger Arbitrage Index
2018-03-31,-0.0104585926,Final,HFRI ED: Merger Arbitrage Index
2018-02-28,0.0016578027,Final,HFRI ED: Merger Arbitrage Index
2018-01-31,0.0104894074,Final,HFRI ED: Merger Arbitrage Index
2017-12-31,0.0054343929,Final,HFRI ED: Merger Arbitrage Index
2017-11-30,-0.0082231786,Final,HFRI ED: Merger Arbitrage Index
2017-10-31,0.0026955185,Final,HFRI ED: Merger Arbitrage Index
2017-09-30,0.0060547037,Final,HFRI ED: Merger Arbitrage Index
2017-08-31,-0.0002676071,Final,HFRI ED: Merger Arbitrage Index
2017-07-31,0.0030173571,Final,HFRI ED: Merger Arbitrage Index
2017-06-30,0.0111675357,Final,HFRI ED: Merger Arbitrage Index
2017-05-31,0.0024357407,Final,HFRI ED: Merger Arbitrage Index
2017-04-30,0.0114356154,Final,HFRI ED: Merger Arbitrage Index
2017-03-31,0.0029090385,Final,HFRI ED: Merger Arbitrage Index
2017-02-28,0.0075725038,Final,HFRI ED: Merger Arbitrage Index
2017-01-31,-0.00177136,Final,HFRI ED: Merger Arbitrage Index
2016-12-31,0.01212172,Final,HFRI ED: Merger Arbitrage Index
2016-11-30,0.00980564,Final,HFRI ED: Merger Arbitrage Index
2016-10-31,-0.00736328,Final,HFRI ED: Merger Arbitrage Index
2016-09-30,0.00506936,Final,HFRI ED: Merger Arbitrage Index
2016-08-31,0.00828176,Final,HFRI ED: Merger Arbitrage Index
2016-07-31,0.00686108,Final,HFRI ED: Merger Arbitrage Index
2016-06-30,-0.002921087,Final,HFRI ED: Merger Arbitrage Index
2016-05-31,0.0072089565,Final,HFRI ED: Merger Arbitrage Index
2016-04-30,-0.0102486818,Final,HFRI ED: Merger Arbitrage Index
2016-03-31,0.0057946957,Final,HFRI ED: Merger Arbitrage Index
2016-02-29,0.0030967826,Final,HFRI ED: Merger Arbitrage Index
2016-01-31,-0.0017513913,Final,HFRI ED: Merger Arbitrage Index
2015-12-31,0.0108506522,Final,HFRI ED: Merger Arbitrage Index
2015-11-30,-0.0001693478,Final,HFRI ED: Merger Arbitrage Index
2015-10-31,0.0100515652,Final,HFRI ED: Merger Arbitrage Index
2015-09-30,-0.0117711739,Final,HFRI ED: Merger Arbitrage Index
2015-08-31,-0.0066152174,Final,HFRI ED: Merger Arbitrage Index
2015-07-31,9.0875e-05,Final,HFRI ED: Merger Arbitrage Index
